# ReForger Anvil type-tag dictionary
# One entry per line as CRC32(class name)|class name; # starts a comment.
# Hand edits are fine -- a name is correct exactly when it hashes to its tag.
# Type dictionary for Assassin's Creed Odyssey.
# 1.177 of the 1.189 type tags this game's forges reference are named (99,0 %).
# Read out of the running game's memory and verified by hash: the tag is CRC-32 of the
# class name, so every line here hashes back to the tag it names.
# Generated 2026-08-13.

0x441D6851|AC2AssassinationTargetTracker
0x2A58BD7B|BoatVehicleDrivingData
0xE78062F8|BoatVehicleFXData
0xEB233CFA|BoatVehicleHandlingData
0x557A50DB|BoatVehicleOarsData
0xDCBFF569|BoatVehicleRammingData
0x250A6FA5|BoatVehicleSettings
0x12FD3552|BoatVehicleSoundSet
0xB3ADF542|BodyPartMapping
0x02251ED8|BodyPartTemplate
0xCC5D5D9E|BonePresetSettings
0x9328902D|BossFightActivityPack
0x769B5A0C|BountyGatesHandler
0x1F6BA72E|BowSoundSet
0x4EC68E98|BoxShape
0x116F4A3B|BuilderVariationLoader
0x22ECBE63|BuildTable
0xE28C5667|BuildTableDynamicResourcesDLCAddon
0xF8C05D2F|BuildTagsToColumnMasks
0xD52B642F|BulkActionDescriptor
0xE2D7120E|BulkActionKit
0x63B0A8F8|BulkActionPack
0x78B0A1F2|BulkActionType
0x4107267C|BulkMesh
0x0E0DBB0F|BulkSkeletalAnimation
0x99D6A958|CameraGraph
0x01C3142F|CameraGraphAddon
0xE487F4CC|CameraGraphRuleBook
0x7AAB07A6|CameraManager
0xFFD53AC8|CameraNodeDLCAddon
0x01A0D270|CameraSelectorBlenderNode
0xD536E933|CameraSelectorNode
0x8E6962C7|CameraTargetTracker
0x0DD5981F|Capsule
0xB8599052|CapsuleShape
0xE7536E8C|CardRepository
0xDB07FB6C|CardRepositoryDLCAddon
0x2B3B6499|CarriableObjectSoundSet
0xB37DCBE7|CarriageMetaData
0x3B3E85D1|CarriageRagdollConstraintData
0x7AC1AB3E|CarriedTargetTracker
0xCD274D63|CarrySettings
0x3A9C77C6|CharacterFoleySoundSet
0x998006F2|CharacterNavigationManager
0x24640CDA|CharacterSetupConfiguration
0x2A06D2F0|CheatManager
0x8AEBEF49|CheatManagerDLCAddon
0x1AB816BC|CinematicCommunityMember
0x558FBA35|CinematicManager
0xF3E1113B|CitadelSettings
0x80925680|CleavedHullBehaviorSettings
0x10EEADB5|CleavedHullPhysicsSettings
0x94FB04BC|ClimateSettings
0x94B42B0E|ClosestFighterTargetTracker
0xE33044BA|Cloth
0xE0746C2A|CloudData
0xE17A8ADA|ClutterRenderingDistanceRegionCellData
0x88BEF736|CollectibleSoundSet
0xB31066E2|Collection
0x74F7311D|CollisionMaterial
0xDF29503F|CommunitySettingsRepository
0x1D4B87A3|CompiledMip
0xCE16DE1F|CompletableLocationInventoryItemActivity
0x3081A125|CompletableLocationMissionGroupActivity
0x08AF3EB5|ConditionStarterSettings
0x6AAD6AFA|ConeCapsuleShape
0x39E461FA|ConflictMusicSettings
0x43F0EEBF|ConstantPropertyControllerData
0x2AF75776|ContactMaterialSettings
0x1B5F6CFD|ContactMaterialSettingsDLCAddon
0x5A03895E|ContactTable
0x9A1DB369|ContentAddonWorldSettings
0x4DB4B1FE|ContentPackage
0x06A44366|ContextualActionSettings
0x7B2672C0|ContextualCollisionSearchParameters
0x7E378F29|ContextualInteractionModule
0xC6C9A9D1|ControllerMappingImageHackEntry
0x18C2C097|ControlMappingSet
0xDD4E76DD|ControlPlatformImage
0xB39AD60E|ControlsManager
0x931181BF|ConversationTable
0x9BF4C2A9|ConversationTemplate
0x73556CDA|ConvexExtrudedShape
0x79410E1F|ConvexMeshShape
0x36247029|CostSettings
0x5BD54E9E|CoverTargetTracker
0x09583306|CrewAssistanceSettings
0xA6DD6374|CrewAssistanceSettingsDLCAddon
0x32C9B751|CrewAssistanceWorldGameplaySettings
0xA3728D8B|CrewCategory
0xA9986CB0|CrewCrowdLifePointGroup
0xFE6623EE|CrewDescriptor
0x8C3EBF12|CrewInventoryItemSettings
0x97F7228B|CrewLifeSetup
0x686983BB|CrewLifeStationSet
0x5B8B9990|CrowdDutyRegion
0x2929B3C5|CrowdStationDescriptionLabel
0xAE849E18|CSSManager
0x52B36CC4|CSSPreset
0x238ECF93|CursorPlatformImage
0x18B9D8B1|CustomActionPack
0x04B82131|CustomMarkerModule
0x69F7743F|CustomPlatformImage
0x3C1D33B0|CustomPlatformImageHackEntry
0x6A594F43|CustomPlatformImageV2
0x23226A61|CustomWeaponActionPack
0xD8196FAE|CutCameraTransition
0x445B37F9|CylinderShape
0x1A0FDFBE|DamageRules
0x784825F7|DangerEventSubTypeConversionTable
0x37CFF500|DataDrivenEnumDebugManager
0xAE00BCDA|DataDrivenEnumDefinition
0xA4D6B4A5|DataDrivenEnumDLCAddon
0xA4DCAD02|DataExclusionRegionCellData
0x41813744|DataLayer
0x651B5AA3|DataLayerGroup
0x338CDC20|DataLayerManager
0x0E122045|DataLayerManagerDLCAddon
0x6C5F23DC|DataLayerSettings
0x16898661|DebugReplaySettings
0xF6E4569A|DecalSettings
0x763A3D0E|DecisionTree
0x137E2597|DecisionTreeSettings
0x22E11589|DefaultGameplayCoordinatorManager
0xDF3E58ED|DefeatedStateSettings
0x002AA97F|DefensiveTargetTracker
0x98E29B46|DeimosCommunityMember
0x3D5F8EE7|DestructiblePointSetup
0xEB056DE0|DestructibleSettings
0xF386E1F9|DestructionSettings
0xB5845172|DesyncPromptPageFactorySettings
0x9F698CB2|DesyncPromptPageFactorySettingsAddon
0x5CC16A2B|DialogueAnimationStateRepository
0xB3852142|DialogueCameraBlend
0x908C48D3|DialogueCameraDepthOfFieldCurves
0xB5BFD71D|DialogueCameraHandheldNoise
0x713B595B|DialogueCameraInTransition
0x83CDE514|DialogueCameraLens
0x52CC5BF1|DialogueCameraOutTransition
0x26B85963|DialogueChoiceFeedbackRepository
0xF4A7303E|DialogueFacialPunctuationGroup
0xB78636FC|DialogueFacialPunctuationSelector
0xBF197583|DialogueFacialState
0xC4D7CA56|DialogueGeneratorParametersVOs
0x5BDBD6B9|DialogueHUDNotificationModule
0x054BA23E|DialogueIdleState
0xB2BD6051|DialogueLightRig
0x2AA901BA|DialogueLiveCamera
0xC50434A1|DialogueLocationProfile
0xBF6B0293|DialoguePlayerChoiceModule
0xFB8F4951|DialogueSettings
0x1671C445|DialogueSmartCamera
0xCC7813A6|DialogueSoundSet
0xE7388BE2|DialogueStage
0x9A2536FD|DialogueUniverseComponent
0x635FB7FE|DifficultySettings
0x13D5BF28|DiscoveryCategory
0x4AB9734E|DiscoveryCharacter
0xDA6CE1B9|DiscoveryEntry
0xC0398D7E|DiscoveryModeCategoryObjective
0x758E9795|DiscoveryModeCelebrationSettings
0x8B69835E|DiscoveryModeCountObjective
0xF7DFB7AD|DiscoveryModeIconDataAddon
0x36E753B7|DiscoveryModeManager
0x42729C8C|DiscoveryModeObjectiveInfo
0xCD3355C3|DiscoveryModeObjectiveList
0x4A3E16D1|DiscoveryModeObjectiveManager
0xC8717EE6|DiscoveryModePOIIconAddon
0x47CBACD3|DiscoveryModeRegionObjective
0xA01FF4C8|DiscoveryModeStationObjective
0x3F8D3522|DiscoveryModeTourObjective
0xCBA486CA|DiscoveryMount
0xDCB258EC|DiscoveryStation
0x9453DC80|DiscoveryTag
0xF34F72B8|DiscoveryTour
0x5B24052A|DismantlingData
0x28B7BCE1|DismantlingSettings
0x3306CD8E|DistrictRegionCellData
0xE21811D4|DLC2ProvidedSaveGameAddon
0xAE34FA63|DLCUniverseComponent
0xE802B9DA|DominoScriptDefinition
0x3BC3DBBD|DoorSoundSet
0xC9EC3839|DynamicDialogueDecisionTree
0x0A9344C4|DynamicDialogueWorldComponentSettings
0xB149ED20|EagleVisionModeRules
0xC2F2E93E|EconomicSystemSettings
0xD9049CF5|EconomicSystemSettingsDLCAddon
0x44FA4DAD|EconomicSystemSettingsTransmogDLCAddon
0xC3200323|EconomySoundSet
0xE06B3C16|ElevatorSoundSet
0x8382FB22|EliteBoatRankInfoTemplate
0xD58F597D|EliteRankInfoTemplate
0x9B0EC1F1|EnemyRankInfo
0x6A43BCD4|EngineLocalizationRepository
0xB4E69FA1|EngineOptions
0xEC397FDE|EngineRtpcSoundSet
0x0984415E|Entity
0xC8C5D989|EntityBehaviorRtpcSoundSet
0x971A842E|EntityBuilder
0x3F742D26|EntityGroup
0xAADF2263|EntityGroupBuilder
0x5C13390B|EntityLabel
0xE1DF65C3|EntityPositionsTemplate
0x1A4D3B35|EphemeralStationHostPreset
0x2AB0B5D0|EpisodeSummaryChoice
0x3EF8E0B5|EpisodeSummaryEntry
0x56CE85D2|EpisodeSummaryQuest
0x07CA0CB2|EquipmentItemBank
0x5E8A141E|EquipmentRaritySwitchSet
0x0754840C|EquipmentSoundSet
0x3484A63A|EscapeObjectiveSettings
0x02AE8BAF|ExplorationManagerData
0x0C305C8C|ExplorationManagerWorldSettings
0x7D4BD0B7|ExpressionPack
0xD3985293|FactDLCAddon
0x8E5EEC5E|FactManager
0x5A2EB022|FadeManager
0xEAB067AA|FadeTransition
0xB3C38C09|FakeDistanceCullingFactorRegionCellData
0x53A67E84|FakeDistanceCullingFactorRegionLayout
0x096983BC|FakeEntitiesManager
0xD31EB8DB|FakeGraphicObject
0x4CB7E94B|FakeWaterMesh
0xF0499142|FalconrySettings
0xC0B85C92|FarShadowsSettings
0x9FF4770F|FastTravelEntry
0x125CFF33|FastTravelManager
0xECEC2F17|FastTravelManagerDLCAddon
0x4CCEB219|FBMLocalSettings
0x99F94C77|FBMSettings
0x4670A639|FBMShoreWaveProfileTemplate
0x2A8F0073|FBRDataFile
0xBD731430|FFTShoreWaveProfileTemplate
0x12B5CE4B|FightDirectorSettings
0x9B427871|FightLogicActionStateAttack
0xE7A04B3C|FightLogicActionStateHitReact
0xE54A4B81|FightLogicActionStateMovement
0x813E99C1|FightLogicActionStatePaired
0x4BCC61E8|FightLogicActionStateRanged
0xD4FB4035|FightLogicActionStateSpecialAbility
0x8DB30BA0|FightLogicActionStateSpecialAbilityPaired
0x0D6B530B|FightLogicDefinition
0x46A13844|FightLogicDLCAddon
0xEF63ABA9|FightLogicDLCAddonExtended
0x39A52B1E|FightLogicRepository
0x3BE32838|FightLogicSet
0x24349DF3|FightLogicStanceState
0x598986DD|FightMeleeTargetTracker
0x71A86E81|FightPosDirectorSettings
0xC1EED57D|FightRankInfoSettings
0x7111C80B|FightRankInfoSettingsAddon
0x726B36D2|FightRankInfoSettingsAddonExtended
0x7F5518F1|FightRealizationEntry
0x0C336309|FightRealizationManagerSettings
0x87D0D03A|FightRealizationRepository
0xB23D28B9|FightSequenceData
0xF24C910F|FightSequenceSet
0x1C288EE3|FightSetBlueprint
0xEF250E27|FightSetBuildTableAssociation
0xC8661671|FightSettings
0x77C84A70|FightSettingsDLCAddon
0xFF914C86|FightSoundSet
0x1EB2B1FF|FightStageSetCollectionData
0x25FD7E67|FightStageSettings
0x10B32D38|FireDamage
0x966A00C5|FireEnergy
0x594E0612|FireFXTemplate
0x6F24DB4D|FireManagerSettings
0x62BCD1F0|FireParticlesTemplate
0xBAB4FF48|FirePropagationConditions
0xAC8FDF63|FireResistance
0x124BF076|FireSettings
0x4F625EDB|FixedCameraSelectorNode
0x92ADA771|FloorHeightData
0xD21E9042|FloorHeightDataChunk
0x3D3A929B|FontFamily
0xC46B4618|FontFile
0x61D83BBA|FontManager
0xA399C6AF|FontManagerDLCAddon
0x33D7B125|FreeObjectiveSettings
0xAB718CC5|FreeStarterSettings
0x3F5B27C6|FXGlobalConstants
0x71704EA6|FXMaterialOverlayPropertyMapping
0xE5A83560|GameBootstrap
0x2B3FCCB5|GameBootstrapDLCAddon
0x2CC42429|GameFix
0x4005ED29|GameFlowImpl
0x9755C0A5|GameObjectGroupFactory
0xF0497042|GameObjectQueryDefinition
0x545F8F72|GameplayFacialEntryDLCAddon
0x4FFDE80D|GameplayPositionsContainer
0x91831427|GamePlaySettings
0x00948693|GamePlaySettingsDLCAddon
0x9D60DD0D|GamePointTag
0x1EBF7C6F|GamePointTagDictionary
0x52534498|GameSetting
0xF05C4CDC|GameStatsManager
0xCD1B5D78|GcLSrvLocateTargetActions
0x8BE6F58E|GcLSrvLocateTargetSettings
0xC01E5105|GeneralScriptDefinition
0x5A04924F|GenericAnimalCommunityMember
0x522A4527|GenericBoatCommunityMember
0xED86A024|GenericCommunityPackage
0xABE3061A|GenericNPCCommunityMember
0x44F7C7A6|GenericRegionCellData
0xF7D22B3C|GIDatablock
0x9ED472D4|GILoader
0xA5457642|GISettingsRegion
0x1767D3F8|GITimeOfDaySegments
0x0A61B320|GlobalAIConditionContainer
0xBE036220|GlobalAnimalFacialGroupSet
0x36823AE0|GlobalFacialGroupSet
0xCF74BDB4|GlobalFightStageConditionContainer
0xDC0E5630|GlobalFightStageMovementSettingsDefinitionContainer
0x0D441020|GlobalFightStageOperationContainer
0x871FF875|GlobalFightStageSetDefinitionContainer
0x59227F24|GlobalFightStageWrapperContainer
0x88F76017|GlobalHurtSequenceMappingWrapper
0x3B979A5C|GlobalLightingScaleCurve
0x7EA406FE|GlobalNamedFightLogicCondition
0xDAF328D0|GlobalNamedFightLogicOperation
0xEB1C5938|GlobalNavigationManager
0xF96CC120|GlobalSoundSet
0x2142F204|GlobalSoundSet2
0x7FD9932B|GlobalUniqueCommunityPackage
0x144C23A1|GlobalVisualAmbiance
0xFF4573C6|GOAPActionDefinition
0x89DA528D|GOAPGoalDefinition
0xD51B1AC3|GOAPPlannerDefinition
0x2CBFE1EE|GotoObjectiveSettings
0xB37373B7|GraboatSettings
0xB1420AD1|GraphicsConfig
0xA86C0B05|GraphicsSettingsModifiersRegionCellData
0xFC1DA7EC|GraphManager
0x4A77CEFE|GraphRuleBook
0xAC2BBF68|GridCellDataBlock
0x0E2F4444|GridPartition
0xA67CBF25|HayStackSoundSet
0x64D206A2|HddSimulationOptions
0x38B6C671|HealthSettings
0xEF86FD03|HUDAbilitiesModule
0x95E8E7CE|HUDAbilityPointsModule
0x5D3518B1|HUDAdrenalineModule
0x08652D4B|HUDAsyncActivityCinematicModule
0xD4CB0AD3|HUDAwarenessModule
0xDF574F66|HUDBallistaModule
0x177399F2|HUDBenchmarkModule
0x46285E7D|HUDBigBattleModule
0xD3588C4B|HUDBoatInfoModule
0x0AD654C7|HUDBoatLevel
0x7C283D84|HUDBountyModule
0x556340B3|HUDButtonPromptModule
0x648C5FFC|HUDCelebrationModule
0x5445C0B0|HUDChallengeModule
0x4C5BD608|HUDChoiceModule
0xFFDA664A|HUDCinematicLabelModule
0x6D581B97|HUDCompassModule
0x98827463|HUDContextualControlsModule
0x3EBF9969|HUDCriticalMessageModule
0xF5C69F6E|HUDDialogueNextLineModule
0xC8E9F11B|HUDDiscoveryModePOIModule
0x282D6A97|HUDDiscoveryModeRegionModule
0x03364E4A|HUDDiscoveryModeTourTrackerModule
0x334747DA|HUDDiscoveryStationModule
0x9C820B5D|HUDDiscoveryTourInfoModule
0xC123FA68|HUDEagleModule
0x46133508|HUDGaugeModule
0x42DC3AF8|HUDGladiatorArenaModule
0xDC53625B|HUDHealthBarModule
0x1E93C2AA|HUDHintsModule
0x5C821D3C|HUDInGameIconsModule
0x107DD8C7|HUDInteractionModule
0x2982CDB7|HUDLetterReaderModule
0x86492EFC|HUDLootModule
0x18E547DB|HUDManagerGame
0x57263317|HUDModuleDLCAddon
0xE516F4DE|HUDNavalAbilitiesModule
0x8CA79106|HUDNavalAbilitiesSwapDLCAddon
0xA9A91680|HUDNotificationsModule
0x353C70B1|HUDNotifyPCModule
0x97882558|HUDNPCTargetInfoModule
0x29FD0D43|HUDPathVisionModule
0x2F0E8C5D|HUDPerformanceAnalyzerModule
0xAD3494B1|HUDPhotoModeModule
0x54BF7B75|HUDPlayerBoatInfoModule
0xC044E289|HUDPlayerLevelModule
0x894414D4|HUDQuestFlowBindingDLCAddon
0xFE522342|HUDQuestInfoModule
0x95AA5714|HUDRangedAttackModule
0x8887ADD4|HUDRecruitInfoModule
0x560D3BDD|HUDRegionModule
0x6F9D7E30|HUDReticleModule
0x00C6A94F|HUDShipHealthBarModule
0xC2514849|HUDSkipCinematicModule
0x085FC88E|HUDStealthStatusModule
0xC2724B44|HUDStoryPhotoModule
0x9220CBE4|HUDSubtitleModule
0x95949262|HUDTimerModule
0x1543E58C|HUDTutorialModule
0x322B2367|HUDVisibilityManagerDLCAddon
0x3DCB7278|HUDVisibilityManagerGame
0x5406CE7E|HUDWatermarkModule
0xC3D3C8A0|HUDWeaponModule
0x33A5D249|HumanAttachmentSettings
0xBA42B58E|HumanFXPack
0x38EF71EA|HumanFXPackDLCAddon
0xA6E9D932|HumanInventorySlotSettings
0x3E222091|HurtBoxCategory
0x4C8287C2|HurtSequenceMapping
0x4F614733|ICameraRule
0xBBDDD224|ImageFile
0x032F4C94|ImpactData
0xDFCD6E51|Impostor
0x08E0AF91|ImpostorShadowDistanceRegionCellData
0xCA828692|Influence
0x640FC85C|InfluenceList
0x95843A6C|Inquiry
0x03648C91|InquiryDLCAddon
0x129619BB|InquiryManager
0xC145C879|InteractObjectiveSettings
0xDDF09B55|InteractStarterSettings
0x240D5660|InteriorManagerDLCAddon
0x34ACA576|InteriorSettings
0x386C0195|InventoryCapacitySettings
0xE4D50EEC|InventoryCategory
0xE00DF776|InventoryCreationSettings
0x103BB309|InventoryItemLevelValueModifier
0xE064B8FB|InventoryObjectiveSettings
0x3862848D|InventoryRestrictionSettings
0x07DCB7E8|InventorySettings
0x76CF7269|InventorySettingsDLCAddon
0xE68D2D9D|InventoryStarterSettings
0xFDA4333C|InvestigationClue
0xDB387201|InvestigationObjectiveSettings
0x2CDBAEAA|InvestigationSettings
0x0A16287D|IsuKnowledgeGate
0x48F96F3C|IsuKnowledgeModule
0xA67E5E3A|IsuKnowledgeSystemDLCAddon
0xA7216802|ItemPerkAIConditionChallenge
0x75798493|ItemPerkBookChallenge
0x9D2C7B46|ItemPerkChallengeGroup
0x5E8D4056|ItemRarityBuildTagMappings
0x65CACDCE|ItemSet
0xD32B9E0C|KeyboardPlatformImage
0xDEED9BC9|KeyboardPlatformImageV2
0xA4A3FEF2|KillLeaderObjectiveSettings
0x6FF28A1B|KillObjectiveSettings
0x0549696C|KinoBootStrapData
0xA826919A|KinoCustomAction
0xDFC831E3|KinoExternalResourceHolder
0xB19D4FCD|KinoExternalStateData
0x3527D1AE|KinoGraphData
0xBBA2898E|KinoMarkupDictionaryData
0xABD50170|KinoMarkupSystemData
0x28941138|KinoReplaceFamilyData
0x3F49D5C9|KinoReplaceSetData
0x235C0560|KinoReplaceSystemData
0x2C1329D2|KinoReplaceTreeData
0x149E0A31|KinoRuntimeData
0x72FCB11D|KinoSyncSystemData
0xC76EED91|KinoTagCategoryData
0x92F31FA2|KinoTagSystemData
0x984B79C1|LayeredSkySettings
0x3D4BBCBC|LightIntensityGroupTimeOfDaySegments
0xBEEE5EB1|LightOptimizedAttribute
0x86EBFD8D|ListShape
0x891043D5|LiteRagdoll
0x9A791059|LiveSnapshotComponent
0x5F7EE5EB|LoadingRangeFactorRegionCellData
0x73FC7A69|LoadingRangeFactorRegionLayout
0xD0ACB241|LoadOnDemandManagerDLCAddon
0xEEBB2443|LocalCubeMap
0xDF503E1F|LocalizationCollection
0xB05A1078|LocalizationDLCAddon
0x4A70DE43|LocalizationManager
0x6E3C9C6F|LocalizationPackage
0xB40FCA91|LocalVisualAmbiance
0xCD9FD300|LocalVisualAmbianceModifier
0xB4F81BD5|LocateGameplaySettings
0x2356B83B|LocateGameplaySettingsDLCAddon
0xCDA51B83|LocateSettings
0xCAD34666|LocateTargetSoundSet
0xC87F5C22|LODMeshShape
0x60043875|LODMeshShapeSettings
0x51DC6B80|LODSelector
0xE04E27CB|LODSelectorStreamingManager
0x799D18C3|LookAtBlinkSolverEyeCorrectionParameters
0xD934FE32|LookAtBlinkSolverParameters
0xE2BF4CDF|LookAtBlinkSolverSaccadeCorrectionParameters
0x96ADD599|LookAtContextPriorityList
0xD86B9F28|LookAtDataSkeletonDefinition
0x8FDFFAF6|LookAtSolverParameters
0x32F0C478|LootFXPack
0x50A3159E|LootGlobalSettings
0x39ADFD88|LuckyGaugeSettings
0x07894C47|MainBehaviorTargetTracker
0xA4ED7571|MainSkillContainer
0x5B7FC715|MarketingCamera
0xF9E7773B|MasterLevelSkillRepositoryDLCAddon
0x85C817C3|Material
0xE9E772C7|MaterialSoundsManager
0xBCFB3C7A|MaterialTemplate
0x6EAFD1B7|MemoryBlackboardSettings
0x3DDA14EE|MenuManagerGame
0xA3933B08|MenuPageDLCAddon
0xFC609F9F|MenuPageRepository
0x7EE42F59|MenuPageRepositoryDLCAddon
0x8BAD589E|MenuPageState
0xBE12437C|MenuPageStateRepository
0xE311DDB2|MenuWorldSetupAddon
0x415D9568|Mesh
0x943A5618|MeshDecalSettings
0xB22B3E61|MeshShape
0x7A31D05D|MetaAIAvoidance
0x22543BF1|MetaAIBehaviourAmbush
0x1AE28989|MetaAIBehaviourAnimalReturnToHabitat
0x287293B6|MetaAIBehaviourAnimalSatisfyNeeds
0x70651A43|MetaAIBehaviourAnimalSetupDebugContext
0xF2328E06|MetaAIBehaviourAttack
0xAE232D43|MetaAIBehaviourBoatFollowLeader
0x264DD94D|MetaAIBehaviourBoatGoTo
0x7A1482F3|MetaAIBehaviourBoatStandStill
0x34BF25B8|MetaAIBehaviourCrewMember
0xC0726347|MetaAIBehaviourDefeated
0x2560ED8C|MetaAIBehaviourDismountRideable
0x28F7E112|MetaAIBehaviourFleeToAILocation
0x3C7A5836|MetaAIBehaviourGoto
0xF535F735|MetaAIBehaviourHarbourDocking
0x6E606585|MetaAIBehaviourHarvest
0x3C66F19E|MetaAIBehaviourHerdFollow
0xC3CFA70F|MetaAIBehaviourHerdSatisfyNeeds
0x12DD8985|MetaAIBehaviourImprisoned
0x6322BF0F|MetaAIBehaviourInjured
0xAB890CB5|MetaAIBehaviourISUSentinelIdle
0x5CDDE146|MetaAIBehaviourNavalAttack
0x44DFE287|MetaAIBehaviourNavalGuardZone
0xFD220312|MetaAIBehaviourNavalPatrolZone
0x4BD28A06|MetaAIBehaviourPatrolLocations
0x9550CA12|MetaAIBehaviourPet
0x0CE873D4|MetaAIBehaviourPlayerBoat
0x399D6705|MetaAIBehaviourRaid
0x15F12BC3|MetaAIBehaviourReturnToSpawner
0xD6519D78|MetaAIBehaviourRideableAnimalWander
0xE6CB1549|MetaAIBehaviourRideableAutoPilot
0x5D8E083E|MetaAIBehaviourSatisfyNeeds
0xD0381284|MetaAIBehaviourScriptedGoto
0x0102789A|MetaAIBehaviourSearch
0x4F1ACF57|MetaAIBehaviourSetupEntityContext
0x7B051528|MetaAIBehaviourSplineScriptedMovement
