# ReForger Anvil type-tag dictionary
# One entry per line as CRC32(class name)|class name; # starts a comment.
# Hand edits are fine -- a name is correct exactly when it hashes to its tag.
# Type dictionary for Assassin's Creed Origins.
# 913 of the 933 type tags this game's forges reference are named (97,9 %).
# 901 were proven from this game itself, from its running memory and its own executables.
# 7 were completed from published dictionaries (Assassin's Creed Odyssey (6), Assassin's Creed Black Flag Resynced (1)) and are marked with their source; this game does not ship the names of those types.
# Every entry is verified by hash against a tag this game's own forges reference: the
# tag is CRC-32 of the class name, so each line hashes back to the tag it names.
# Generated 2026-08-13.

0x60B663FB|Accomplishment
0xD8CECAC8|DebugMenuDLCAddon
0x16898661|DebugReplaySettings
0xF6E4569A|DecalSettings
0x22E11589|DefaultGameplayCoordinatorManager
0xDF3E58ED|DefeatedStateSettings
0x002AA97F|DefensiveTargetTracker
0x28704D40|DesertRevealLocation
0x3D5F8EE7|DestructiblePointSetup
0xEB056DE0|DestructibleSettings
0x08FC7E6F|Dialogue
0xFB8F4951|DialogueSettings
0xE7388BE2|DialogueStage
0x6F58F2B2|DifficultyOptionViewModel
0x7E15FD50|DirectionalLight
0x13D5BF28|DiscoveryCategory
0x4AB9734E|DiscoveryCharacter
0xDA6CE1B9|DiscoveryEntry
0x36E753B7|DiscoveryModeManager
0xC0EAD2EC|DiscoveryModeManagerSoundSet
0xDCB258EC|DiscoveryStation
0xFFF9197F|DiscoverySubPoI
0xF34F72B8|DiscoveryTour
0x5B24052A|DismantlingData
0x28B7BCE1|DismantlingSettings
0xD10E2012|DistributedTable
0xFB10E289|DistrictManager
0x3306CD8E|DistrictRegionCellData    # from Assassin's Creed Odyssey
0x66BAEC09|DLC02SkillSoundSet
0xCA271836|DLCGameStatsManager
0x23B25D14|DLCSettingsContainer
0x9B078B3E|DLCThebesAfterlifeLocationInfo
0x71ED8D5A|DLCUIIconsFilterLocationInfo
0xAE34FA63|DLCUniverseComponent
0xE802B9DA|DominoScriptDefinition
0x3BC3DBBD|DoorSoundSet
0x58B64AD4|DOSEffectCategory
0xE042ECC9|DOSFeedbackTrack
0xE6E8D3EC|DynamicRaidSoundSet
0xB0F46D7B|DynamicWorldTransitionPortal
0xB149ED20|EagleVisionModeRules
0xC2F2E93E|EconomicSystemSettings
0xD9049CF5|EconomicSystemSettingsDLCAddon
0xC3200323|EconomySoundSet
0x1097715F|EGSSnakeSettings
0x27602BA8|EGSSnakeSoundSet
0xE06B3C16|ElevatorSoundSet
0x9B0EC1F1|EnemyRankInfo
0x6A43BCD4|EngineLocalizationRepository
0xB4E69FA1|EngineOptions
0xEC397FDE|EngineRtpcSoundSet
0x0984415E|Entity
0xC8C5D989|EntityBehaviorRtpcSoundSet
0x971A842E|EntityBuilder
0x3F742D26|EntityGroup
0xAADF2263|EntityGroupBuilder
0x5C13390B|EntityLabel
0xE1DF65C3|EntityPositionsTemplate
0x5E8A141E|EquipmentRaritySwitchSet
0x30A3DEFB|EquipmentSettings
0x0754840C|EquipmentSoundSet
0x02AE8BAF|ExplorationManagerData
0xC287AAB7|ExplorationManagerDLCAddon
0x7D4BD0B7|ExpressionPack
0xC15BDAE8|FacialGroupDLCAddon
0x096983BC|FakeEntitiesManager
0xD31EB8DB|FakeGraphicObject
0x4CB7E94B|FakeWaterMesh
0xF0499142|FalconrySettings
0xC0B85C92|FarShadowsSettings
0x9FF4770F|FastTravelEntry
0x125CFF33|FastTravelManager
0xECEC2F17|FastTravelManagerDLCAddon
0x4CCEB219|FBMLocalSettings
0x99F94C77|FBMSettings
0x12B5CE4B|FightDirectorSettings
0xC0A1E935|FightDLCAddon
0x9B427871|FightLogicActionStateAttack
0xE7A04B3C|FightLogicActionStateHitReact
0xE54A4B81|FightLogicActionStateMovement
0x813E99C1|FightLogicActionStatePaired
0x4BCC61E8|FightLogicActionStateRanged
0x0D6B530B|FightLogicDefinition
0x39A52B1E|FightLogicRepository
0x3BE32838|FightLogicSet
0x24349DF3|FightLogicStanceState
0x598986DD|FightMeleeTargetTracker
0x71A86E81|FightPosDirectorSettings
0x7F5518F1|FightRealizationEntry
0x0C336309|FightRealizationManagerSettings
0x87D0D03A|FightRealizationRepository
0xE75B4647|FightRegionCellData
0xB23D28B9|FightSequenceData
0xF24C910F|FightSequenceSet
0xC8661671|FightSettings
0xFF914C86|FightSoundSet
0x1EB2B1FF|FightStageSetCollectionData
0x10B32D38|FireDamage
0x966A00C5|FireEnergy
0x594E0612|FireFXTemplate
0x6F24DB4D|FireManagerSettings
0x62BCD1F0|FireParticlesTemplate
0xBAB4FF48|FirePropagationConditions
0xA9F81859|FirePropertiesZone
0xAC8FDF63|FireResistance
0x124BF076|FireSettings
0x4A7363E8|FireWispSettings
0x7D84391F|FireWispSoundSet
0x4F625EDB|FixedCameraSelectorNode
0xBD70497A|FloatOptionViewModel
0x92ADA771|FloorHeightData
0xD21E9042|FloorHeightDataChunk
0x3D3A929B|FontFamily
0xC46B4618|FontFile
0x61D83BBA|FontManager
0xA399C6AF|FontManagerDLCAddon
0x824A23BA|FX    # from Assassin's Creed Black Flag Resynced
0x3F5B27C6|FXGlobalConstants
0x71704EA6|FXMaterialOverlayPropertyMapping
0xE5A83560|GameBootstrap
0x2B3FCCB5|GameBootstrapDLCAddon
0x2CC42429|GameFix
0x4005ED29|GameFlowImpl
0x545F8F72|GameplayFacialEntryDLCAddon
0x4FFDE80D|GameplayPositionsContainer
0x91831427|GamePlaySettings
0x00948693|GamePlaySettingsDLCAddon
0x52534498|GameSetting
0xF05C4CDC|GameStatsManager
0xCD1B5D78|GcLSrvLocateTargetActions
0x8BE6F58E|GcLSrvLocateTargetSettings
0x44F7C7A6|GenericRegionCellData
0xF7D22B3C|GIDatablock
0x9ED472D4|GILoader
0xA5457642|GISettingsRegion
0x1767D3F8|GITimeOfDaySegments
0xBE036220|GlobalAnimalFacialGroupSet
0x36823AE0|GlobalFacialGroupSet
0xDC0E5630|GlobalFightStageMovementSettingsDefinitionContainer
0x871FF875|GlobalFightStageSetDefinitionContainer
0x59227F24|GlobalFightStageWrapperContainer
0x3B979A5C|GlobalLightingScaleCurve
0xDAF328D0|GlobalNamedFightLogicOperation
0xEB1C5938|GlobalNavigationManager
0xF96CC120|GlobalSoundSet
0x2142F204|GlobalSoundSet2
0x144C23A1|GlobalVisualAmbiance
0xB37373B7|GraboatSettings
0xB1420AD1|GraphicsConfig
0xA86C0B05|GraphicsSettingsModifiersRegionCellData
0xFC1DA7EC|GraphManager
0x4A77CEFE|GraphRuleBook
0xAC2BBF68|GridCellDataBlock
0x0E2F4444|GridPartition
0x7E6BE629|HairMesh
0xA67CBF25|HayStackSoundSet
0x64D206A2|HddSimulationOptions
0x38B6C671|HealthSettings
0x86010547|HealthSettingsDLCAddon
0xECBF24C7|HieroglyphExperienceModule
0x1974B983|HintsContextPatch
0x62FB51E3|HippodromeSoundSet
0x95E8E7CE|HUDAbilityPointsModule
0x5D3518B1|HUDAdrenalineModule
0x08652D4B|HUDAsyncActivityCinematicModule
0xD4CB0AD3|HUDAwarenessModule
0xDF574F66|HUDBallistaModule
0x177399F2|HUDBenchmarkModule
0x648C5FFC|HUDCelebrationModule
0x4C5BD608|HUDChoiceModule
0xFFDA664A|HUDCinematicLabelModule
0x6D581B97|HUDCompassModule
0x98827463|HUDContextualControlsModule
0xAC77A490|HUDCraftableModule
0x0C02D045|HUDCraftingRecipeModule
0x3EBF9969|HUDCriticalMessageModule
0x8E13E079|HudDiscoveryModule
0x334747DA|HUDDiscoveryStationModule
0x9C820B5D|HUDDiscoveryTourInfoModule
0x42E96A74|HUDDiscoveryTourModule
0xC123FA68|HUDEagleModule
0x6A0BBAAC|HUDEnlargedImageModule
0x751BCA9F|HUDFunFactsModule
0x46133508|HUDGaugeModule
0x42DC3AF8|HUDGladiatorArenaModule
0xDA7CC2A7|HUDGuidedTourBriefingModule
0xDC53625B|HUDHealthBarModule
0x1E93C2AA|HUDHintsModule
0x5C821D3C|HUDInGameIconsModule
0x107DD8C7|HUDInteractionModule
0x2982CDB7|HUDLetterReaderModule
0x86492EFC|HUDLootModule
0x0F566F9C|HUDManagerDLCAddon
0x18E547DB|HUDManagerGame
0xA9A91680|HUDNotificationsModule
0x353C70B1|HUDNotifyPCModule
0x29FD0D43|HUDPathVisionModule
0x2F0E8C5D|HUDPerformanceAnalyzerModule
0xAD3494B1|HUDPhotoModeModule
0xC044E289|HUDPlayerLevelModule
0xC5D93000|HUDPoIIntroModule
0x57FCACB5|HUDPointOfInterestModule
0x780E6A4A|HUDPresetOptionViewModel
0xFE522342|HUDQuestInfoModule
0x95AA5714|HUDRangedAttackModule
0x81A0F2EC|HUDRelatedTourModule
0x6F9D7E30|HUDReticleModule
0x00C6A94F|HUDShipHealthBarModule
0xC2514849|HUDSkipCinematicModule
0x4291C288|HudStoneCircleModule
0x9220CBE4|HUDSubtitleModule
0x95949262|HUDTimerModule
0x9CFB92BA|HUDTokenIndicatorModule
0x1543E58C|HUDTutorialModule
0x03AFDA9C|HUDVehicleRaceModule
0x322B2367|HUDVisibilityManagerDLCAddon
0x3DCB7278|HUDVisibilityManagerGame
0x5406CE7E|HUDWatermarkModule
0xC3D3C8A0|HUDWeaponModule
0x9B5F2A6B|HUDZoneInfoModule
0x33A5D249|HumanAttachmentSettings
0xBA42B58E|HumanFXPack
0xA6E9D932|HumanInventorySlotSettings
0x3E222091|HurtBoxCategory
0x4F614733|ICameraRule
0x032F4C94|ImpactData
0xDFCD6E51|Impostor
0xC566B1BC|InGameCheatManagerDLCAddon
0x17C4BC53|IngredientGeneratorData
0xACF25D90|IngredientGeneratorEntityList
0xD6D6F416|IngredientGeneratorFX
0x2DE91113|IngredientGeneratorPack
0xAFF99EDF|IngredientGeneratorRules
0x386C0195|InventoryCapacitySettings
0xE4D50EEC|InventoryCategory
0xE00DF776|InventoryCreationSettings
0x103BB309|InventoryItemLevelValueModifier
0xF70A9692|InventoryItemUpgradeDLCAddon
0x3862848D|InventoryRestrictionSettings
0x07DCB7E8|InventorySettings
0x2CDBAEAA|InvestigationSettings
0xEA91B1EE|JunoAttackSoundSet
0xD32B9E0C|KeyboardPlatformImage
0xDEED9BC9|KeyboardPlatformImageV2
0x0549696C|KinoBootStrapData
0xA826919A|KinoCustomAction
0xDFC831E3|KinoExternalResourceHolder
0xB19D4FCD|KinoExternalStateData
0x3527D1AE|KinoGraphData
0xBBA2898E|KinoMarkupDictionaryData
0xABD50170|KinoMarkupSystemData
0x28941138|KinoReplaceFamilyData
0x3F49D5C9|KinoReplaceSetData
0x235C0560|KinoReplaceSystemData
0x2C1329D2|KinoReplaceTreeData
0x149E0A31|KinoRuntimeData
0x72FCB11D|KinoSyncSystemData
0xC76EED91|KinoTagCategoryData
0x92F31FA2|KinoTagSystemData
0x984B79C1|LayeredSkySettings
0x3D4BBCBC|LightIntensityGroupTimeOfDaySegments
0x674BED18|LimitedPerFrameCounter
0x86EBFD8D|ListShape
0x891043D5|LiteRagdoll
0x9A791059|LiveSnapshotComponent
0x5F7EE5EB|LoadingRangeFactorRegionCellData
0x73FC7A69|LoadingRangeFactorRegionLayout
0x4F2559FF|LoadingScreenComponent
0xD0ACB241|LoadOnDemandManagerDLCAddon
0xEEBB2443|LocalCubeMap
0xB05A1078|LocalizationDLCAddon
0x4A70DE43|LocalizationManager
0x6E3C9C6F|LocalizationPackage
0xB40FCA91|LocalVisualAmbiance
0xCD9FD300|LocalVisualAmbianceModifier
0xCAD34666|LocateTargetSoundSet
0xFD065351|LocationContextPatch
0x51DC6B80|LODSelector
0xE04E27CB|LODSelectorStreamingManager
0x96ADD599|LookAtContextPriorityList
0x515C31CD|LookAtDataGeneral
0xD86B9F28|LookAtDataSkeletonDefinition
0x50A3159E|LootGlobalSettings
0x9E8AB2EF|LUTTimeOfDaySegments
0x07894C47|MainBehaviorTargetTracker
0x10595C9D|MapIconManagerDLCAddon
0x5B7FC715|MarketingCamera
0x85C817C3|Material
0x25F7D3AC|MaterialOverrideSpecification
0xE9E772C7|MaterialSoundsManager
0xBCFB3C7A|MaterialTemplate
0x3DDA14EE|MenuManagerGame
0xFC609F9F|MenuPageRepository
0x7EE42F59|MenuPageRepositoryDLCAddon
0x8BAD589E|MenuPageState
0xBE12437C|MenuPageStateRepository
0x415D9568|Mesh
0x943A5618|MeshDecalSettings
0xB22B3E61|MeshShape
0xA4EF5CD4|MetaAIActionList
0x7A31D05D|MetaAIAvoidance
0x22543BF1|MetaAIBehaviourAmbush    # from Assassin's Creed Odyssey
0x1AE28989|MetaAIBehaviourAnimalReturnToHabitat
0x287293B6|MetaAIBehaviourAnimalSatisfyNeeds
0x32C2F9B3|MetaAIBehaviourBossFightMinion
0x2560ED8C|MetaAIBehaviourDismountRideable
0x1EF18B57|MetaAIBehaviourDocking
0xC0356D49|MetaAIBehaviourDrown
0x03E6A627|MetaAIBehaviourFindRideableFromGarage
0x2D62410F|MetaAIBehaviourFishing
0xB7B8E64D|MetaAIBehaviourFleeOnAINetwork
0x28F7E112|MetaAIBehaviourFleeToAILocation
0x3C7A5836|MetaAIBehaviourGoto
0x350C19FA|MetaAIBehaviourGotoBoat
0x6E606585|MetaAIBehaviourHarvest
0x3C66F19E|MetaAIBehaviourHerdFollow
0xC3CFA70F|MetaAIBehaviourHerdSatisfyNeeds
0x12DD8985|MetaAIBehaviourImprisoned
0xA5611A72|MetaAIBehaviourLostOnWater
0x9303A7B1|MetaAIBehaviourMovingOnSmallWaterVehicle
0x4BD28A06|MetaAIBehaviourPatrolLocations
0xB475BF19|MetaAIBehaviourRace
0x399D6705|MetaAIBehaviourRaid
0xBAF5F5A6|MetaAIBehaviourResurrected
0x15F12BC3|MetaAIBehaviourReturnToSpawner
0xD6519D78|MetaAIBehaviourRideableAnimalWander
0xE6CB1549|MetaAIBehaviourRideableAutoPilot
0x5D8E083E|MetaAIBehaviourSatisfyNeeds
0xD0381284|MetaAIBehaviourScriptedGoto
0x0102789A|MetaAIBehaviourSearch
0x6F855882|MetaAIBehaviourShipNPCGoto
0x3EA0B80F|MetaAIBehaviourShipNPCPatrol
0x7B051528|MetaAIBehaviourSplineScriptedMovement
0x124C623B|MetaAIBehaviourStandStill
0xED76ADA0|MetaAIBehaviourSwitchVehicle
0x0637F5F3|MetaAIBehaviourTransportingDeadBody
0x99E75AF5|MetaAIBehaviourWaitForDriver
0x3B068631|MetaAIBehaviourWanderOnAINetwork
0x84BAE527|MetaAIBehaviourWaterGoto
0xE2765FDE|MetaAIBehaviourWaterPatrolLocations
0xE2A2EA38|MetaAIBudgetPriority
0x66CB714E|MetaAIComplexAcquisitionLabel
0x72ACA389|MetaAIComponentSettings
0x7F0FAEEA|MetaAIContextTable
0xCF629B29|MetaAIDeadBodyData
0x2C1341B5|MetaAIDynamicEventManagerSettings
0x350B1328|MetaAIFactionData
0xF24B0C31|MetaAIGroupData
0xE05CB077|MetaAIGroupDataContextTable
0x33F4B554|MetaAILabel
0x8AD0D3F1|MetaAIObjectiveAmbush
0x77DD6822|MetaAIObjectiveAnimal
0xD026BAD0|MetaAIObjectiveAnimalHerd
0x41B0BF1A|MetaAIObjectiveAnimalLocation
0x090908DA|MetaAIObjectiveAnimalSpawner
0x134024FF|MetaAIObjectiveBallista
0x123D9ABE|MetaAIObjectiveBarracks
0xFAF0455F|MetaAIObjectiveBase
0x64DF5CA6|MetaAIObjectiveBigBoatCrewSpawner
0x60D2D96B|MetaAIObjectiveBigWaterVehicle
0xA1ACB0D7|MetaAIObjectiveBountyHunterSpawner
0xDE8D757A|MetaAIObjectiveBrazier
0x6CE2F56F|MetaAIObjectiveCage
0x787F08DF|MetaAIObjectiveDock
0x60867597|MetaAIObjectiveGuardPost
0x64398CE5|MetaAIObjectiveHuman
0x10ED15C1|MetaAIObjectiveLootDrop
0xB5DBE0D1|MetaAIObjectiveObject
0x856F3158|MetaAIObjectivePlayer
0x69FABC91|MetaAIObjectiveRallyPoint
0xBEDBCE0B|MetaAIObjectiveRegroupPoint
0x377739C6|MetaAIObjectiveResource
0x8A7BFE04|MetaAIObjectiveRideableAnimal
0x7106A32C|MetaAIObjectiveSmallWaterVehicle
0xA5C98D53|MetaAIObjectiveSpawner
0x9DB66318|MetaAIObjectiveStatic
0x15890DA1|MetaAIObjectiveStaticCage
0xE0F31537|MetaAIObjectiveTransport
0x34F8E6F8|MetaAIObjectiveUniqueAnimalSpawner
0x69E872F1|MetaAIObjectiveUniqueNPCSpawner
0x43F5DEDC|MetaAIObjectiveVehicle
0x08D7AC5D|MetaAIObjectiveVehicleGarage
0x541BBC91|MetaAIObjectiveVehicleHitch
0x6AEBBFE5|MetaAIObjectiveWarehouse
0xE6E6BB8E|MetaAIObjectiveWaterGuardPost
0x846BF416|MetaAIObjectiveWaterResource
0x50986CF6|MetaAIObjectiveWaterShip
0x1948C555|MetaAIObjectiveWaterShipCrew
0xC5B5C922|MetaAIObjectiveWaterShipOctareme
0xDFD142B0|MetaAIObjectiveWaterVehicleGarage
0x8B3A69D6|MetaAIObjectiveWaterVehicleLoop
0xB5EBC133|MetaAIReactionBehaviourSummonedRideable
0x68BD22A6|MetaAIRestrictionZoneList
0x47171155|MetaAISchedule
0xF173125D|MetaAIScriptedDataSettings
0xCF9DFA9C|MetaAISoundSet
0x9D3DC730|MetaAIVirtualDescriptorDynamicLabel
0xB03ECA17|MetaAIVirtualDescriptorLocationLabel
0x021D77CE|MetaAIZoneCellData
0x81304CED|MinionManager
0x282276D6|MinionPartConfiguration
0xFA43C35B|MinionProfile
0x5FDACBA0|Mission
0xD9AA11B9|MissionActionPack
0xC0576C2D|MissionGroup
0x9B2AEAF3|MissionGroupActionPack
0x59365930|MissionManager
0xC0548BC4|MissionManagerDLCAddon
0x883C8566|MissionMusicSettings
0xE6545731|MissionRoot
0x8B6AC193|MissionRootDLCAddon
0xBC11BD33|MissionStepActionPack
0xF46C3C2A|MissionStepCheckpoint
0xE26735FC|MissionStepCoordinator
0x72BD8C71|MissionStepCountedGroup
0xD31AFFD2|MissionStepDelay
0x9E9D90A9|MissionStepDomino
0x0C403B8C|MissionStepGroup
0x20B73CD4|MissionStepMissionObjectState
0xC9D1AEF5|MissionStepWaitForCelebrationDone
0x0A96D893|MissionStepWaitForever
0x1E71ACD5|MissionStepWaitForTime
0x1124EF02|MissionStepWhiteRoomActivator
0x41CE50C9|MissionTransitionManager
0xB4E00AE7|MoonCycleSettings    # from Assassin's Creed Odyssey
0x9895FF0A|MotionSoftBody
0xC2610104|MouseAimSensitivityOptionViewModel
0x40E11A98|MousePlatformImage
0x519A86F6|MultiDecal
0x52C68A9B|MultiTargetTracker2
0x81878BAB|NavigateCarriageRaceBaseData
0x597CD939|NavigateCarriageRaceLogicData
0x5E7D0E5B|NavigationSelectorBlenderNode
0xC75A8DF2|NavigationSelectorNode
0x0B4CE0E0|NavMeshManager
0x932D5FD8|NetUniverseComponent
0x8239DC20|NewGamePlusSettings
0x0E2CB9C8|NPCAnimationBreakerSettings
0x49EEBF98|NPCNavigationSettings
0x51CF020F|OasisVoiceCharacterTable
0xF4C743B6|OasisVoiceConditionTable
0x3A250224|OasisVoiceTableItem
0xAC2EB537|ObjectModifierDefinition
0x98E0CD22|ObjectModifierRepository
0xF55FD1E4|ObjectModifierRepositoryDLCAddon
0xF29157B2|ObjectPack
0xF1D48F2B|OcclusionMesh
0x95267B3F|OceanWavesParams
0xA50273B2|OfflineGlyphs
0x2E79BD58|OilManagerSettings
0x344780D6|OmniLight
0xF10BE53F|OnlineUniverseComponents
0x71CD9E46|OutOfBoundsSettings
0xDAADDDD7|OverheatTargetTracker
0x53B66AAB|OverrideGameplayConditionalFacialEntryList
0x2B8D2C13|PadPlatformImage
0xBFF852C8|ParkourSettings
0x0CF87690|PerceptionSettings
0x8F07EDFF|PersistableOptionsProfile
0x5FD662D8|PhotoModeManager
0x4098E5E7|PhysicHolderUniverseComponent
0x4D6EBBDF|PhysicSettings
0x0889691F|PilotConfigData
0x70609AC4|PlatformImageManager
0x5FEBECE4|PlayerOptionsDLCAddon
0x9713A15F|PlayerProgressionManager
0x9F4A8F52|PlayerProgressionManagerDLCAddon
0xC4EBA473|PlayerSettings
0x6625A5BC|PlayerXPManagerDLCAddon
0x16789F53|PoisonManagerDLCAddon
0x1EBF6017|PoisonManagerSettings
0x7311E893|PoisonStageData
0xB271782D|PoisonTemplate
0x32A56A5C|PositionLabel
0xDA1BD191|PredictionDatabaseManager    # from Assassin's Creed Odyssey
0x1850AAAC|ProbabilityTable
0x95905827|ProceduralEntity
0x207C7937|ProceduralEntityGroup
0xE99D3578|ProceduralMesh
0x1A5DD3E3|ProgressionSoundSet
0xA3E78AC6|ProjectilesSettings
0x8DEEB8AD|ProxyTextures
0x6FBF5034|PushableObjectSoundSet
0x6CDCED14|PushObjectSettings
0xE7238246|QuadrupedIKExtendedSettings
0x82D6D713|Quest
0xA60F5ED9|RagdollPreset
0x4BE653CF|RagdollSkeleton
